model	objective	reaction	flux	status	minimum	maximum (optPercentage = 100)
iAB_AMO1410_SARS-CoV-2	obj	DM_13-cis-oretn(n)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_13-cis-retn(n)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_Asn-X-Ser/Thr(ly)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_Ser-Gly/Ala-X-Gly(ly)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_Ser/Thr(ly)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_atp(c)	0.000000	optimal	0.000000	1.310352
iAB_AMO1410_SARS-CoV-2	obj	DM_avite1(c)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_avite2(c)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_bvite(c)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_datp(m)	0.000000	optimal	0.000000	0.034186
iAB_AMO1410_SARS-CoV-2	obj	DM_datp(n)	0.000000	optimal	0.000000	0.034186
iAB_AMO1410_SARS-CoV-2	obj	DM_dctp(m)	0.000000	optimal	0.000000	0.056976
iAB_AMO1410_SARS-CoV-2	obj	DM_dctp(n)	0.000000	optimal	0.000000	0.056976
iAB_AMO1410_SARS-CoV-2	obj	DM_dgtp(m)	0.000000	optimal	0.000000	0.034186
iAB_AMO1410_SARS-CoV-2	obj	DM_dgtp(n)	0.000000	optimal	0.000000	0.034186
iAB_AMO1410_SARS-CoV-2	obj	DM_dsT_antigen(g)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_dttp(m)	0.000000	optimal	0.000000	0.085464
iAB_AMO1410_SARS-CoV-2	obj	DM_dttp(n)	0.000000	optimal	0.000000	0.085464
iAB_AMO1410_SARS-CoV-2	obj	DM_ethamp(r)	0.000000	optimal	0.000000	0.170929
iAB_AMO1410_SARS-CoV-2	obj	DM_gpi_sig(er)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_kdn(c)	0.000000	optimal	0.000000	0.225693
iAB_AMO1410_SARS-CoV-2	obj	DM_m(em)3gacpail_prot_hs(r)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_mem2emgacpail_prot_hs(r)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_n5m2masn(g)	0.000000	optimal	0.000000	0.000000
iAB_AMO1410_SARS-CoV-2	obj	DM_oretn(n)	0.000000	optimal	0.000000	0.000000
