model	objective	reaction	flux	status	minimum	maximum (optPercentage = 100)
e_coli_core.xml	obj	PFK	7.477382	optimal	7.477306	7.477485
e_coli_core.xml	obj	PFL	0.000000	optimal	0.000000	0.000066
e_coli_core.xml	obj	PGI	4.860861	optimal	4.860632	4.861110
e_coli_core.xml	obj	PGK	-16.023526	optimal	-16.023610	-16.023451
e_coli_core.xml	obj	PGL	4.959985	optimal	4.959736	4.960214
e_coli_core.xml	obj	ACALD	0.000000	optimal	-0.000015	0.000000
e_coli_core.xml	obj	AKGt2r	0.000000	optimal	-0.000008	0.000000
e_coli_core.xml	obj	PGM	-14.716140	optimal	-14.716225	-14.716065
e_coli_core.xml	obj	PIt2r	3.214895	optimal	3.214893	3.214895
e_coli_core.xml	obj	ALCD2x	0.000000	optimal	-0.000013	0.000000
e_coli_core.xml	obj	ACALDt	0.000000	optimal	-0.000015	0.000000
e_coli_core.xml	obj	ACKr	0.000000	optimal	-0.000022	0.000000
e_coli_core.xml	obj	PPC	2.504309	optimal	2.503910	2.504441
e_coli_core.xml	obj	ACONTa	6.007250	optimal	6.007180	6.007340
e_coli_core.xml	obj	ACONTb	6.007250	optimal	6.007180	6.007340
e_coli_core.xml	obj	ATPM	8.390000	optimal	8.390000	8.390100
e_coli_core.xml	obj	PPCK	0.000000	optimal	0.000000	0.000100
e_coli_core.xml	obj	ACt2r	0.000000	optimal	-0.000022	0.000000
e_coli_core.xml	obj	PPS	0.000000	optimal	0.000000	0.000100
e_coli_core.xml	obj	ADK1	0.000000	optimal	0.000000	0.000100
e_coli_core.xml	obj	AKGDH	5.064376	optimal	5.063909	5.064466
e_coli_core.xml	obj	ATPS4r	45.514010	optimal	45.513801	45.514120
e_coli_core.xml	obj	PTAr	0.000000	optimal	0.000000	0.000022
e_coli_core.xml	obj	PYK	1.758177	optimal	1.758078	1.758503
e_coli_core.xml	obj	BIOMASS_Ecoli_core_w_GAM	0.873922	optimal	0.873921	0.873922
e_coli_core.xml	obj	PYRt2	0.000000	optimal	-0.000015	0.000000
e_coli_core.xml	obj	CO2t	-22.809833	optimal	-22.809855	-22.809789
e_coli_core.xml	obj	RPE	2.678482	optimal	2.678316	2.678635
e_coli_core.xml	obj	CS	6.007250	optimal	6.007180	6.007340
e_coli_core.xml	obj	RPI	-2.281503	optimal	-2.281579	-2.281420
e_coli_core.xml	obj	SUCCt2_2	0.000000	optimal	0.000000	0.000133
e_coli_core.xml	obj	CYTBD	43.598985	optimal	43.598941	43.599030
e_coli_core.xml	obj	D_LACt2	0.000000	optimal	-0.000012	0.000000
e_coli_core.xml	obj	ENO	14.716140	optimal	14.716065	14.716225
e_coli_core.xml	obj	SUCCt3	0.000000	optimal	0.000000	0.000133
e_coli_core.xml	obj	ETOHt2r	0.000000	optimal	-0.000013	0.000000
e_coli_core.xml	obj	SUCDi	1000.000000	optimal	5.064307	1000.000000
e_coli_core.xml	obj	SUCOAS	-5.064376	optimal	-5.064466	-5.063909
e_coli_core.xml	obj	TALA	1.496984	optimal	1.496901	1.497060
e_coli_core.xml	obj	THD2	0.000000	optimal	0.000000	0.000398
e_coli_core.xml	obj	TKT1	1.496984	optimal	1.496901	1.497060
e_coli_core.xml	obj	TKT2	1.181498	optimal	1.181415	1.181575
e_coli_core.xml	obj	TPI	7.477382	optimal	7.477306	7.477465
e_coli_core.xml	obj	EX_ac_e	0.000000	optimal	0.000000	0.000022
e_coli_core.xml	obj	EX_acald_e	0.000000	optimal	0.000000	0.000015
e_coli_core.xml	obj	EX_akg_e	0.000000	optimal	0.000000	0.000008
e_coli_core.xml	obj	EX_co2_e	22.809833	optimal	22.809789	22.809855
e_coli_core.xml	obj	EX_etoh_e	0.000000	optimal	0.000000	0.000013
