model	objective	reaction	status	value
iJR904.xml	obj	R_ALATA_L2	optimal	0.921948
iJR904.xml	obj	R_ALAabc	optimal	0.921948
iJR904.xml	obj	R_ALAt2r	optimal	0.921948
iJR904.xml	obj	R_ALCD19	optimal	0.921948
iJR904.xml	obj	R_ALDD19xr	optimal	0.921948
iJR904.xml	obj	R_ALDD2x	optimal	0.921948
iJR904.xml	obj	R_ALLTAHr	optimal	0.921948
iJR904.xml	obj	R_ALLTN	optimal	0.921948
iJR904.xml	obj	R_ALLTNt2r	optimal	0.921948
iJR904.xml	obj	R_ABTA	optimal	0.921948
iJR904.xml	obj	R_ABUTD	optimal	0.921948
iJR904.xml	obj	R_ALTRH	optimal	0.921948
iJR904.xml	obj	R_AMALT1	optimal	0.921948
iJR904.xml	obj	R_AMALT2	optimal	0.921948
iJR904.xml	obj	R_AMALT3	optimal	0.921948
iJR904.xml	obj	R_AMALT4	optimal	0.921948
iJR904.xml	obj	R_AMANAPEr	optimal	0.921948
iJR904.xml	obj	R_AMANK	optimal	0.921948
iJR904.xml	obj	R_ABUTt2r	optimal	0.921948
iJR904.xml	obj	R_AMAOTr	optimal	0.921948
iJR904.xml	obj	R_AMMQT8_2	optimal	0.921948
iJR904.xml	obj	R_ACACCT	optimal	0.921948
iJR904.xml	obj	R_ACACT1r	optimal	0.921948
iJR904.xml	obj	R_12PPDt	optimal	0.921948
iJR904.xml	obj	R_AMPMS	optimal	0.921948
iJR904.xml	obj	R_AMPN	optimal	0.921948
iJR904.xml	obj	R_ACACt2	optimal	0.921948
iJR904.xml	obj	R_ANPRT	optimal	-0.000000
iJR904.xml	obj	R_ACALD	optimal	0.921948
iJR904.xml	obj	R_ANS	optimal	-0.000000
iJR904.xml	obj	R_AOXSr	optimal	0.921948
iJR904.xml	obj	R_ACALDt	optimal	0.921948
iJR904.xml	obj	R_ACBIPGT	optimal	0.921948
iJR904.xml	obj	R_ACCOAC	optimal	-0.000000
iJR904.xml	obj	R_ACCOAL	optimal	0.921948
iJR904.xml	obj	R_ACGAMT	optimal	0.921948
iJR904.xml	obj	R_2DGLCNRx	optimal	0.921948
iJR904.xml	obj	R_2DGLCNRy	optimal	0.921948
iJR904.xml	obj	R_ACGApts	optimal	0.921948
iJR904.xml	obj	R_ACGK	optimal	-0.000000
iJR904.xml	obj	R_ACGS	optimal	-0.000000
iJR904.xml	obj	R_ACHBS	optimal	-0.000000
iJR904.xml	obj	R_AP4AH	optimal	0.921948
iJR904.xml	obj	R_ACKr	optimal	0.918965
iJR904.xml	obj	R_ACLS	optimal	-0.000000
iJR904.xml	obj	R_AP5AH	optimal	0.921948
iJR904.xml	obj	R_ACMAMUT	optimal	0.921948
iJR904.xml	obj	R_2DGULRx	optimal	0.921948
iJR904.xml	obj	R_APRAUR	optimal	-0.000000
iJR904.xml	obj	R_2DGULRy	optimal	0.921948
iJR904.xml	obj	R_ARAI	optimal	0.921948
iJR904.xml	obj	R_ACMANApts	optimal	0.921948
iJR904.xml	obj	R_ACNAMt2	optimal	0.921948
iJR904.xml	obj	R_3HCINNMH	optimal	0.921948
iJR904.xml	obj	R_ARBabc	optimal	0.921948
iJR904.xml	obj	R_3HPPPNH	optimal	0.921948
iJR904.xml	obj	R_4HTHRS	optimal	0.921948
iJR904.xml	obj	R_ACNML	optimal	0.921948
iJR904.xml	obj	R_ACOATA	optimal	0.921948
iJR904.xml	obj	R_ACODA	optimal	-0.000000
iJR904.xml	obj	R_ACONMT	optimal	0.921948
iJR904.xml	obj	R_ARBt2r	optimal	0.921948
iJR904.xml	obj	R_ACONT	optimal	-0.000000
iJR904.xml	obj	R_ACOTA	optimal	-0.000000
iJR904.xml	obj	R_ACPS1	optimal	0.921948
iJR904.xml	obj	R_5DGLCNR	optimal	0.921948
iJR904.xml	obj	R_A5PISO	optimal	-0.000000
iJR904.xml	obj	R_AACPS1	optimal	0.921948
iJR904.xml	obj	R_AACPS2	optimal	0.921948
iJR904.xml	obj	R_ACS	optimal	0.921948
iJR904.xml	obj	R_ACt2r	optimal	0.921948
iJR904.xml	obj	R_ADA	optimal	0.921948
iJR904.xml	obj	R_ADCL	optimal	-0.000000
iJR904.xml	obj	R_ADCS	optimal	-0.000000
iJR904.xml	obj	R_AACPS3	optimal	0.921948
iJR904.xml	obj	R_AACPS4	optimal	0.921948
iJR904.xml	obj	R_ADD	optimal	0.921948
iJR904.xml	obj	R_ARGDC	optimal	0.921948
iJR904.xml	obj	R_ADEt2	optimal	0.921948
iJR904.xml	obj	R_AACPS5	optimal	0.921948
iJR904.xml	obj	R_AADDGT	optimal	0.921948
iJR904.xml	obj	R_ADHEr	optimal	0.921948
iJR904.xml	obj	R_ARGORNt7	optimal	0.921948
iJR904.xml	obj	R_ADK1	optimal	0.921948
iJR904.xml	obj	R_ADK3	optimal	0.921948
iJR904.xml	obj	R_ADK4	optimal	0.921948
iJR904.xml	obj	R_AB6PGH	optimal	0.921948
iJR904.xml	obj	R_ADMDC	optimal	-0.000000
iJR904.xml	obj	R_ARGSL	optimal	-0.000000
iJR904.xml	obj	R_ADNCYC	optimal	0.921948
iJR904.xml	obj	R_ARGSS	optimal	-0.000000
iJR904.xml	obj	R_ADNK1	optimal	0.921918
iJR904.xml	obj	R_ADNt2_copy1	optimal	0.921948
iJR904.xml	obj	R_C120SN	optimal	-0.000000
iJR904.xml	obj	R_ARGabc	optimal	0.921948
iJR904.xml	obj	R_ADNt2_copy2	optimal	0.921948
iJR904.xml	obj	R_ADOCBIK	optimal	0.921948
iJR904.xml	obj	R_ASAD	optimal	-0.000000
iJR904.xml	obj	R_ADOCBLS	optimal	0.921948
iJR904.xml	obj	R_ADPT	optimal	0.921948
iJR904.xml	obj	R_ASNN	optimal	0.921948
iJR904.xml	obj	R_ADSK	optimal	-0.000000
iJR904.xml	obj	R_ADSL1r	optimal	-0.000000
iJR904.xml	obj	R_ADSL2r	optimal	-0.000000
iJR904.xml	obj	R_ADSS	optimal	-0.000000
iJR904.xml	obj	R_AGDC	optimal	0.921948
iJR904.xml	obj	R_C140SN	optimal	-0.000000
iJR904.xml	obj	R_C141SN	optimal	-0.000000
